,trnL_id,trnl_common_name,scientific_name
465,47651,Austrian peaweed,Sphaerophysa salsula
466,52150,rescuegrass,Bromus catharticus
467,21020,European chestnut,Castanea sativa
468,103480,kuri,Castanea crenata
469,516554,ao ye jing tian,Sedum emarginatum
470,66654,Gold Coast bombax,Bombax buonopozense
471,50192,field sow-thistle,Sonchus arvensis
472,63787,South American air plant,Kalanchoe fedtschenkoi
473,3882,common sainfoin,Onobrychis viciifolia
474,309270,council-tree,Ficus altissima
475,38722,Manila grass,Zoysia matrella
476,65557,hollyhock,Alcea rosea
477,309312,banjo fig,Ficus lyrata
478,182105,benjamin-tree,Ficus benjamina
479,66385,laurel fig,Ficus microcarpa
480,100580,spotted fig,Ficus virens
481,291326,xuan shen,Scrophularia ningpoensis
482,3565,slim amaranth,Amaranthus hybridus
483,60418,shagbark hickory,Carya ovata
484,213255,guo lu huang,Lysimachia christinae
485,118431,sekichiku,Dianthus chinensis
486,196703,slender-flower thistle,Carduus tenuiflorus
487,3631,China jute,Abutilon theophrasti
488,185191,common St. Paul's wort,Sigesbeckia orientalis
489,151071,rambutan,Nephelium lappaceum
490,176265,dragon fruit,Selenicereus undatus
491,140662,clove cherry,Prunus apetala
492,159041,Hong Kong kumquat,Citrus hindsii
493,336856,Bengal ginger,Zingiber montanum
494,183267,majagua,Talipariti tiliaceum
495,496653,alei,Citrus hongheensis
496,2709,Ichang papeda,Citrus cavaleriei
497,3830,smooth rattlebox,Crotalaria pallida
498,470571,August lily,Hosta plantaginea
499,23013,devil's backbone,Kalanchoe daigremontiana
500,622458,karira,Capparis decidua
501,46961,twinleaf,Jeffersonia diphylla
502,14027,windmill palm,Trachycarpus fortunei
503,1170222,musk okra,Abelmoschus moschatus
504,183220,sunset-hibiscus,Abelmoschus manihot
505,132261,field dodder,Cuscuta campestris
506,36599,rowan,Sorbus aucuparia
507,219892,Malay-apple,Syzygium malaccense
508,323665,Asiatic yam,Dioscorea esculenta
509,13055,fireweed,Chamaenerion angustifolium
510,66652,Syrian bean-caper,Zygophyllum fabago
511,43166,sour orange,Citrus aurantium
512,237574,sunki mandarin,Citrus sunki
513,204211,American beauty-berry,Callicarpa americana
514,4024,sugar maple,Acer saccharum
515,4025,Norway maple,Acer platanoides
516,4023,box elder,Acer negundo
517,50236,flowering-rush,Butomus umbellatus
518,47101,goat's rue,Galega officinalis
519,265496,Manchurian catalpa,Catalpa bungei
520,39347,catnip,Nepeta cataria
521,113250,Canary date palm,Phoenix canariensis
522,184140,pipinela,Sicyos edulis
523,99292,Chinese raisintree,Hovenia dulcis
524,3758,plum,Prunus domestica
525,86643,barometer-bush,Leucophyllum frutescens
526,3824,sword bean,Canavalia gladiata
527,82207,yu zhu,Polygonatum odoratum
528,441205,purple mullein,Verbascum phoeniceum
529,38869,clary,Salvia sclarea
530,58333,southern live oak,Quercus virginiana
531,171251,citron,Citrus medica
532,180675,scarlet sage,Salvia splendens
533,242839,da hua hong jing tian,Rhodiola crenulata
534,248846,red poppywort,Meconopsis punicea
535,142181,paperbush,Edgeworthia chrysantha
536,3510,wax-myrtle,Morella cerifera
537,355332,yuan zhi,Polygala tenuifolia
538,231030,Calcutta bamboo,Dendrocalamus strictus
539,495764,bush bamboo,Bambusa oliveriana
540,280849,velvet-leaf bamboo,Dendrocalamus brandisii
541,29671,giant bamboo,Dendrocalamus giganteus
542,225828,tama bamboo,Dendrocalamus hamiltonii
543,57650,Tatarian maple,Acer tataricum
544,71035,annual salt marsh aster,Symphyotrichum subulatum
545,155640,chinaberry,Melia azedarach
546,29672,crinkled hair grass,Avenella flexuosa
547,42048,poverty oat grass,Danthonia spicata
548,205524,shum,Solanum aethiopicum
549,4111,eggplant,Solanum melongena
550,3915,black gram,Vigna mungo
551,56994,Moreton Bay pine,Araucaria cunninghamii
552,67938,winged prickly-ash,Zanthoxylum armatum
553,184783,pinang,Areca catechu
554,56866,singkwa towel gourd,Luffa acutangula
